'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'215294.recompute_res', False, False, 1.406, 65, 15417, 26334, 27869, 13924
'215354.recompute_res', False, False, 1.094, 119, 48163, 57614, 59807, 46134
'215371.recompute_res', False, False, 0.016, 29, 7947, 8079, 8350, 7731
'215462.recompute_res', False, False, 33.516, 171, 48524, 78879, 86113, 43093
'2155.recompute_res', False, False, 114.812, 208, 128318, 233561, 247874, 118068
'215630.recompute_res', False, False, 0.531, 24, 5589, 7211, 7831, 5009
'215633.recompute_res', False, False, 0.0, 1, 70, 119, 127, 61
'215686.recompute_res', False, False, 20.953, 14, 14633, 26487, 28733, 13339
'21573.recompute_res', False, False, 15.375, 105, 31399, 57213, 60414, 29074
'215751.recompute_res', False, False, 0.641, 78, 31534, 34579, 36441, 30057
'21577.recompute_res', False, False, 43.547, 133, 69522, 113405, 118797, 64945
'215805.recompute_res', False, False, 48.844, 13, 33176, 62280, 65724, 31283
'215846.recompute_res', False, False, 12.109, 48, 12202, 22131, 23587, 11255
'215938.recompute_res', False, False, 6.734, 223, 29076, 45306, 50435, 24444
'215967.recompute_res', False, False, 0.812, 89, 69316, 67977, 70548, 67163
'215983.recompute_res', False, False, 7.875, 401, 208752, 289335, 296239, 201255
'216069.recompute_res', False, False, 0.766, 259, 15089, 23326, 25607, 12716
'216155.recompute_res', False, False, 20.438, 402, 166561, 290269, 298567, 158463
'21622.recompute_res', False, False, 0.016, 18, 3963, 3733, 4016, 3733
'216224.recompute_res', False, False, 0.125, 17, 5957, 6849, 7134, 5674
'216288.recompute_res', False, False, 3.969, 14, 8245, 11900, 12754, 7436
'21635.recompute_res', False, False, 66.609, 4, 26388, 45188, 51943, 22633
'216424.recompute_res', False, False, 0.141, 12, 843, 1426, 1641, 722
'216501.recompute_res', False, False, 5.156, 89, 19547, 24097, 27372, 16437
'216634.recompute_res', False, False, 5.672, 232, 78480, 102832, 107935, 74295
'216708.recompute_res', False, False, 4.469, 213, 77934, 92437, 96904, 74201
'216751.recompute_res', False, False, 10.344, 10, 12967, 24532, 25435, 12425
'216786.recompute_res', False, False, 52.281, 126, 93480, 177284, 183029, 89194
'216791.recompute_res', False, False, 7.266, 161, 67605, 90690, 95111, 63450
'216797.recompute_res', False, False, 22.719, 200, 124624, 161539, 168607, 117378
'216805.recompute_res', False, False, 28.141, 195, 123561, 161964, 168992, 116341
'216812.recompute_res', False, False, 4.312, 200, 71662, 84642, 88710, 68154
'216814.recompute_res', False, False, 18.609, 175, 109592, 139995, 145929, 103463
'216852.recompute_res', False, False, 0.125, 99, 21748, 20182, 22166, 20169
'216865.recompute_res', False, False, 0.016, 29, 3618, 6255, 6426, 3472
'216880.recompute_res', False, False, 0.031, 136, 13032, 12353, 13303, 12353
'216909.recompute_res', False, False, 414.0, 167, 214841, 392189, 418060, 200169
'216932.recompute_res', False, False, 0.406, 107, 20859, 23851, 25605, 19328
'216936.recompute_res', False, False, 2.0, 169, 44840, 54847, 56604, 43546
'21702.recompute_res', False, False, 2.844, 119, 35597, 53644, 55921, 32372
'217128.recompute_res', False, False, 0.031, 59, 5275, 4780, 5454, 4753
'21716.recompute_res', False, False, 38.375, 49, 33778, 62650, 66095, 31441
'217233.recompute_res', False, False, 5.531, 74, 22578, 29559, 31392, 21023
'217298.recompute_res', False, False, 159.781, 443, 260114, 466983, 485298, 243944
'2173.recompute_res', False, False, 0.078, 249, 19090, 17617, 19598, 17600
'217391.recompute_res', False, False, 0.609, 69, 39992, 39731, 41265, 38514
'217393.recompute_res', False, False, 3.578, 48, 9321, 16181, 16965, 8745
'217466.recompute_res', False, False, 0.25, 29, 6779, 7042, 7552, 6333
'217487.recompute_res', False, False, 66.516, 2350, 356690, 542457, 591696, 311806
'217510.recompute_res', False, False, 0.016, 74, 19883, 19392, 20030, 19392
'217729.recompute_res', False, False, 0.672, 17, 6180, 9998, 10385, 5798
'217731.recompute_res', False, False, 28.375, 39, 16273, 28653, 31648, 14418
'217774.recompute_res', False, False, 0.688, 17, 6373, 10613, 11010, 5976
'217835.recompute_res', False, False, 9.281, 259, 19776, 28306, 36913, 16798
'21805.recompute_res', False, False, 6.078, 101, 12523, 17229, 18702, 11203
'218052.recompute_res', False, False, 0.531, 24, 5638, 6459, 7117, 5124
'218076.recompute_res', False, False, 0.016, 39, 9997, 9954, 10255, 9763
'218089.recompute_res', False, False, 418.047, 167, 220726, 403115, 429911, 205651
'218145.recompute_res', False, False, 18.141, 16, 22448, 42381, 43834, 21462
'218175.recompute_res', False, False, 40.359, 1007, 407759, 638902, 657691, 391019
'21818.recompute_res', False, False, 27.5, 150, 31313, 55098, 60808, 27846
'218257.recompute_res', False, False, 0.016, 29, 797, 871, 1289, 632
'218265.recompute_res', True, False
'21828.recompute_res', False, False, 3.188, 69, 17748, 24823, 26399, 16373
'218317.recompute_res', False, False, 2.719, 302, 105921, 123553, 128053, 102315
'218329.recompute_res', False, False, 0.078, 64, 18491, 17612, 18739, 17552
'218365.recompute_res', False, False, 5.672, 279, 37081, 47536, 53905, 31055
'218392.recompute_res', False, False, 0.0, 1, 26, 26, 26, 26
'218398.recompute_res', False, False, 9.562, 27, 24700, 44852, 45635, 24085
'218508.recompute_res', False, False, 3.125, 67, 12355, 21683, 23601, 11218
'218527.recompute_res', False, False, 172.938, 64, 57745, 97715, 117704, 49274
'218647.recompute_res', False, False, 0.062, 8, 1634, 1670, 1820, 1497
'218648.recompute_res', False, False, 681.578, 757, 516266, 959626, 1010160, 483078
'218664.recompute_res', False, False, 29.219, 89, 29023, 48507, 54599, 24889
'218699.recompute_res', False, False, 55.578, 279, 42554, 58882, 75869, 33363
'218738.recompute_res', False, False, 0.0, 21, 2384, 2313, 2442, 2313
'218754.recompute_res', False, False, 70.594, 74, 59132, 111905, 116241, 56439
'21877.recompute_res', False, False, 0.016, 7, 1351, 1232, 1452, 1232
'218797.recompute_res', False, False, 4.609, 150, 22763, 29238, 31564, 21098
'218896.recompute_res', False, False, 0.0, 49, 12652, 12455, 12798, 12455
'218968.recompute_res', False, False, 21.188, 99, 15196, 25771, 27778, 13957
'21899.recompute_res', False, False, 1.562, 1, 1276, 2336, 2488, 1178
'219011.recompute_res', False, False, 54.766, 12, 33795, 62041, 67134, 31062
'21910.recompute_res', False, False, 40.984, 49, 30155, 55086, 59186, 27600
'219148.recompute_res', False, False, 10.0, 199, 21307, 26621, 38118, 17473
'219227.recompute_res', False, False, 14.719, 104, 40203, 64620, 67709, 37264
'219246.recompute_res', False, False, 0.078, 7, 1503, 1769, 1900, 1380
'21931.recompute_res', False, False, 55.047, 174, 93375, 153127, 158879, 89494
'21939.recompute_res', False, False, 0.438, 249, 19604, 21988, 23546, 18760
'219415.recompute_res', False, False, 1.953, 58, 22518, 23090, 24985, 20873
'219511.recompute_res', False, False, 28.219, 39, 28517, 53151, 55810, 26686
'219538.recompute_res', False, False, 88.703, 249, 150039, 280939, 291141, 142001
'219606.recompute_res', False, False, 46.719, 419, 149274, 277914, 289532, 140587
'21969.recompute_res', False, False, 0.547, 457, 108008, 104498, 111356, 103126
'219858.recompute_res', False, False, 0.0, 25, 358, 301, 382, 301
'219964.recompute_res', False, False, 21.953, 42, 48479, 80919, 83527, 46466
'219983.recompute_res', False, False, 61.109, 380, 213378, 400805, 412514, 202901
'220083.recompute_res', False, False, 47.875, 299, 151379, 282568, 292845, 142991
'220110.recompute_res', False, False, 1.078, 49, 6612, 9132, 10263, 5429
'220118.recompute_res', False, False, 0.0, 1, 57, 98, 106, 50
'220224.recompute_res', False, False, 35.484, 13, 29313, 55211, 58324, 27717
'220239.recompute_res', False, False, 4.688, 149, 37585, 45494, 49667, 33401
'220257.recompute_res', False, False, 75.547, 184, 73759, 133181, 142966, 67099
'220322.recompute_res', False, False, 4.938, 99, 24534, 41708, 43985, 22261
'220419.recompute_res', False, False, 52.844, 314, 66313, 116132, 132595, 58895
'220420.recompute_res', False, False, 0.531, 315, 88053, 97534, 100662, 85827
'220447.recompute_res', False, False, 1.984, 34, 14929, 24285, 25075, 13965
