'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_print_total'
'213814.3.recompute_res', False, False, 0.004, 19, 4568, 4310, 4160, 4160
'213824.3.recompute_res', False, False, 0.174, 14, 16537, 13475, 12236, 12211
'214027.3.recompute_res', False, False, 0.152, 47, 23010, 23053, 21549, 14867
'21403.3.recompute_res', False, False, 0.004, 24, 5914, 5673, 5530, 5530
'214098.3.recompute_res', False, False, 1.081, 164, 80258, 73967, 68279, 53802
'214276.3.recompute_res', False, False, 0.18, 317, 88863, 85216, 82726, 82605
'214353.3.recompute_res', False, False, 1.502, 37, 79807, 95913, 92945, 60191
'214373.3.recompute_res', False, False, 1.14, 41, 74067, 88391, 85738, 58910
'21446.3.recompute_res', False, False, 0.013, 74, 10017, 9048, 8529, 8529
'21447.3.recompute_res', False, False, 0.0, 1, 24, 24, 24, 24
'214577.3.recompute_res', False, False, 25.954, 155, 393441, 390745, 364981, 230061
'214672.3.recompute_res', False, False, 0.058, 35, 17428, 14846, 13729, 12565
'214688.3.recompute_res', False, False, 0.011, 49, 5588, 4257, 3568, 3568
'21469.3.recompute_res', False, False, 0.325, 271, 186581, 178046, 174432, 174006
'214737.3.recompute_res', False, False, 0.312, 311, 152241, 141971, 137561, 137561
'214754.3.recompute_res', False, False, 0.054, 277, 15639, 13019, 10298, 10017
'214771.3.recompute_res', False, False, 0.199, 209, 50331, 39758, 35121, 34271
'214798.3.recompute_res', False, False, 0.472, 29, 25562, 29446, 27960, 18076
'214851.3.recompute_res', False, False, 0.494, 304, 115821, 96897, 90160, 84965
'214981.3.recompute_res', False, False, 0.163, 232, 71539, 58095, 52527, 52415
'215038.3.recompute_res', False, False, 24.901, 155, 377533, 376725, 352100, 218946
'215092.3.recompute_res', False, False, 0.026, 31, 22008, 19580, 18516, 18516
'215111.3.recompute_res', False, False, 0.152, 14, 14146, 10675, 9299, 9295
'215170.3.recompute_res', False, False, 1.233, 37, 69548, 59654, 55762, 50217
'215294.3.recompute_res', False, False, 0.03, 65, 31438, 27869, 26334, 26334
'215354.3.recompute_res', False, False, 0.141, 119, 63012, 59807, 57614, 51839
'215371.3.recompute_res', False, False, 0.006, 29, 8875, 8350, 8079, 8079
'215462.3.recompute_res', False, False, 0.552, 171, 103648, 86113, 78879, 78226
'2155.3.recompute_res', False, False, 3.101, 208, 246493, 247874, 233561, 173405
'215630.3.recompute_res', False, False, 0.009, 24, 9123, 7831, 7211, 7211
'215633.3.recompute_res', False, False, 0.0, 1, 156, 127, 119, 93
'215686.3.recompute_res', False, False, 1.543, 14, 34930, 28733, 26487, 23868
'21573.3.recompute_res', False, False, 0.319, 105, 67476, 60414, 57213, 53852
'215751.3.recompute_res', False, False, 0.041, 78, 40431, 36441, 34579, 34579
'21577.3.recompute_res', False, False, 2.654, 133, 106460, 118797, 113405, 75760
'215805.3.recompute_res', False, False, 9.313, 13, 65220, 65724, 62280, 43814
'215846.3.recompute_res', False, False, 1.43, 48, 25109, 23587, 22131, 17726
'215938.3.recompute_res', False, False, 0.825, 223, 48538, 50435, 45306, 27892
'215967.3.recompute_res', False, False, 0.074, 89, 76489, 70548, 67977, 67977
'215983.3.recompute_res', False, False, 0.786, 401, 311571, 296239, 289335, 281497
'216069.3.recompute_res', False, False, 0.073, 259, 29462, 25607, 23326, 23326
'216155.3.recompute_res', False, False, 1.445, 402, 299522, 298567, 290269, 240101
'21622.3.recompute_res', False, False, 0.005, 18, 4653, 4016, 3733, 3733
'216224.3.recompute_res', False, False, 0.006, 17, 7734, 7134, 6849, 6814
'216288.3.recompute_res', False, False, 0.135, 14, 15103, 12754, 11900, 11012
'21635.3.recompute_res', False, False, 20.117, 4, 50298, 51943, 45188, 22881
'216424.3.recompute_res', False, False, 0.009, 12, 2068, 1641, 1426, 866
'216501.3.recompute_res', False, False, 0.087, 89, 35149, 27372, 24097, 23940
'216634.3.recompute_res', False, False, 0.392, 232, 113431, 107935, 102832, 95387
'216708.3.recompute_res', False, False, 0.256, 213, 106754, 96904, 92437, 92267
'216751.3.recompute_res', False, False, 0.733, 10, 25807, 25435, 24532, 20912
'216786.3.recompute_res', False, False, 1.774, 126, 156830, 183029, 177284, 122229
'216791.3.recompute_res', False, False, 0.359, 161, 105075, 95111, 90690, 87536
'216797.3.recompute_res', False, False, 1.012, 200, 182186, 168607, 161539, 149466
'216805.3.recompute_res', False, False, 0.773, 195, 186177, 168992, 161964, 157806
'216812.3.recompute_res', False, False, 0.257, 200, 97599, 88710, 84642, 83845
'216814.3.recompute_res', False, False, 0.658, 175, 159364, 145929, 139995, 134398
'216852.3.recompute_res', False, False, 0.036, 99, 26494, 22166, 20182, 20182
'216865.3.recompute_res', False, False, 0.005, 29, 6465, 6426, 6255, 6151
'216880.3.recompute_res', False, False, 0.03, 136, 15069, 13303, 12353, 12353
'216909.3.recompute_res', False, False, 30.995, 167, 416820, 418060, 392189, 265766
'216932.3.recompute_res', False, False, 0.04, 107, 29017, 25605, 23851, 23849
'216936.3.recompute_res', False, False, 0.107, 169, 59614, 56604, 54847, 54390
'21702.3.recompute_res', False, False, 0.15, 119, 61721, 55921, 53644, 48932
'217128.3.recompute_res', False, False, 0.012, 59, 6856, 5454, 4780, 4780
'21716.3.recompute_res', False, False, 1.161, 49, 69076, 66095, 62650, 47914
'217233.3.recompute_res', False, False, 0.284, 74, 35955, 31392, 29559, 27377
'217298.3.recompute_res', False, False, 5.098, 443, 516292, 485298, 466983, 414916
'2173.3.recompute_res', False, False, 0.068, 249, 23553, 19598, 17617, 17617
'217391.3.recompute_res', False, False, 0.043, 69, 44907, 41265, 39731, 39731
'217393.3.recompute_res', False, False, 0.107, 48, 18365, 16965, 16181, 14822
'217466.3.recompute_res', False, False, 0.012, 29, 8662, 7552, 7042, 6958
'217487.3.recompute_res', False, False, 6.861, 2350, 720561, 591696, 542457, 542457
'217510.3.recompute_res', False, False, 0.019, 74, 21356, 20030, 19392, 19392
'217729.3.recompute_res', False, False, 0.022, 17, 11326, 10385, 9998, 9740
'217731.3.recompute_res', False, False, 1.203, 39, 40156, 31648, 28653, 27938
'217774.3.recompute_res', False, False, 0.021, 17, 11981, 11010, 10613, 10355
'217835.3.recompute_res', False, False, 0.499, 259, 37389, 36913, 28306, 18732
'21805.3.recompute_res', False, False, 0.138, 101, 20227, 18702, 17229, 15314
'218052.3.recompute_res', False, False, 0.013, 24, 8475, 7117, 6459, 6459
'218076.3.recompute_res', False, False, 0.01, 39, 10850, 10255, 9954, 9954
'218089.3.recompute_res', False, False, 33.047, 167, 430462, 429911, 403115, 275088
'218145.3.recompute_res', False, False, 0.867, 16, 45366, 43834, 42381, 37448
'218175.3.recompute_res', False, False, 3.969, 1007, 692237, 657691, 638902, 607308
'21818.3.recompute_res', False, False, 1.24, 150, 68853, 60808, 55098, 42079
'218257.3.recompute_res', False, False, 0.006, 29, 1707, 1289, 871, 871
'218265.3.recompute_res', False, False, 0.531, 114, 72063, 58987, 54458, 53371
'21828.3.recompute_res', False, False, 0.046, 69, 30035, 26399, 24823, 24823
'218317.3.recompute_res', False, False, 0.339, 302, 137336, 128053, 123553, 121189
'218329.3.recompute_res', False, False, 0.023, 64, 21356, 18739, 17612, 17612
'218365.3.recompute_res', False, False, 0.304, 279, 69750, 53905, 47536, 45017
'218392.3.recompute_res', False, False, 0.0, 1, 26, 26, 26, 26
'218398.3.recompute_res', False, False, 0.332, 27, 37198, 45635, 44852, 32522
'218508.3.recompute_res', False, False, 0.17, 67, 24893, 23601, 21683, 16779
'218527.3.recompute_res', False, False, 10.704, 64, 149960, 117704, 97715, 56517
'218647.3.recompute_res', False, False, 0.003, 8, 2209, 1820, 1670, 1626
'218648.3.recompute_res', False, False, 19.394, 757, 905574, 1010160, 959626, 670506
'218664.3.recompute_res', False, False, 0.616, 89, 70030, 54599, 48507, 47876
'218699.3.recompute_res', False, False, 1.874, 279, 91194, 75869, 58882, 42402
'218738.3.recompute_res', False, False, 0.004, 21, 2597, 2442, 2313, 2313
'218754.3.recompute_res', False, False, 1.973, 74, 94623, 116241, 111905, 70331
'21877.3.recompute_res', False, False, 0.002, 7, 1708, 1452, 1232, 1232
'218797.3.recompute_res', False, False, 0.277, 150, 35666, 31564, 29238, 26589
'218896.3.recompute_res', False, False, 0.011, 49, 13243, 12798, 12455, 12455
'218968.3.recompute_res', False, False, 0.37, 99, 32619, 27778, 25771, 25771
'21899.3.recompute_res', False, False, 0.054, 1, 2879, 2488, 2336, 2297
'219011.3.recompute_res', False, False, 7.946, 12, 63919, 67134, 62041, 41907
'21910.3.recompute_res', False, False, 1.645, 49, 64354, 59186, 55086, 42293
