'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'672073.recompute_res', False, False, 37.0, 9, 5165, 8680, 9841, 4463
'673904.recompute_res', False, False, 93.399, 8, 9923, 17457, 18396, 9238
'674816.recompute_res', False, False, 1456.405, 13, 29610, 55521, 58181, 28125
'67505.recompute_res', False, False, 68.15, 14, 13331, 22452, 23938, 12148
'675934.recompute_res', False, False, 177.347, 64, 28817, 50829, 54094, 26509
'67880.recompute_res', False, False, 3.612, 199, 79329, 72513, 81634, 72405
'681729.recompute_res', False, False, 137.028, 74, 114116, 166661, 173887, 106809
'684801.recompute_res', False, False, 6.068, 2, 1753, 1514, 2003, 1479
'686273.recompute_res', False, False, 1.928, 147, 142703, 148934, 151973, 139729
'690273.recompute_res', False, False, 327.144, 39, 7969, 12894, 14370, 7136
'690640.recompute_res', False, False, 91.983, 13, 15783, 25646, 27262, 14530
'691492.recompute_res', False, False, 2.702, 15, 8143, 8176, 9045, 7445
'692513.recompute_res', False, False, 551.709, 281, 109082, 180969, 201276, 96339
'692889.recompute_res', False, False, 2.005, 138, 47143, 49596, 52257, 44551
'694956.recompute_res', False, False, 55.034, 69, 24372, 43498, 45481, 22843
'697698.recompute_res', False, False, 772.02, 74, 127071, 228934, 240765, 117091
'701774.recompute_res', False, False, 17.83, 9, 6209, 9708, 10428, 5641
'70531.recompute_res', False, False, 124.492, 24, 13219, 15653, 18618, 11177
'708006.recompute_res', False, False, 5.037, 18, 9687, 9225, 10038, 9125
'709202.recompute_res', False, False, 117.393, 13, 19685, 35638, 37299, 18372
'710052.recompute_res', False, False, 3.363, 51, 39458, 38705, 41181, 37229
'71495.recompute_res', False, False, 9.31, 79, 20086, 34207, 36670, 17787
'721074.recompute_res', False, False, 142.854, 99, 55451, 89131, 96037, 49611
'72342.recompute_res', True, False
'723657.recompute_res', False, False, 21.059, 9, 4954, 7530, 8104, 4500
'726499.recompute_res', False, False, 0.763, 79, 41150, 40632, 41558, 40520
'728868.recompute_res', False, False, 162.14, 49, 26453, 48558, 50420, 25159
'731125.recompute_res', False, False, 587.923, 12, 8259, 14236, 16168, 7212
'731470.recompute_res', False, False, 0.138, 12, 2218, 2074, 2268, 2074
'733366.recompute_res', False, False, 643.886, 74, 128636, 233832, 244634, 119728
'734461.recompute_res', False, False, 10.863, 24, 8234, 10542, 11795, 7261
'734547.recompute_res', False, False, 54.309, 96, 64031, 79124, 87256, 57364
'734615.recompute_res', False, False, 761.556, 74, 130306, 238967, 250283, 121291
'734844.recompute_res', False, False, 0.159, 24, 8432, 8138, 8631, 8138
'739119.recompute_res', False, False, 118.044, 60, 24419, 36092, 43189, 19914
'739947.recompute_res', False, False, 129.407, 557, 80485, 115566, 152139, 67245
'745498.recompute_res', False, False, 0.198, 3, 1102, 944, 1125, 944
'746947.recompute_res', False, False, 68.996, 41, 24202, 38052, 41164, 21430
'748612.recompute_res', False, False, 1985.982, 179, 23835, 32184, 43693, 19624
'754479.recompute_res', False, False, 124.536, 583, 78897, 112355, 147136, 65983
'756831.recompute_res', False, False, 35.413, 16, 16595, 28893, 30164, 15483
'759051.recompute_res', False, False, 54.578, 249, 93181, 78136, 93772, 77992
'761269.recompute_res', False, False, 15.818, 135, 18727, 17668, 20478, 16283
'761703.recompute_res', False, False, 0.129, 118, 29760, 28680, 30215, 28588
'762322.recompute_res', False, False, 2601.911, 62, 53152, 85876, 103171, 44353
'762786.recompute_res', False, False, 573.351, 74, 129430, 221789, 232163, 119758
'766952.recompute_res', False, False, 95.371, 7, 5676, 9389, 10624, 4842
'76929.recompute_res', False, False, 5.391, 29, 18397, 26607, 28221, 17063
'77101.recompute_res', True, False
'771327.recompute_res', False, False, 5.023, 14, 7982, 8917, 9450, 7521
'771447.recompute_res', False, False, 85.251, 14, 12750, 20377, 22239, 11147
'771513.recompute_res', False, False, 121.756, 14, 10875, 17144, 19329, 9119
'772844.recompute_res', False, False, 5.99, 365, 100567, 98969, 104919, 95572
'773768.recompute_res', True, False
'773771.recompute_res', False, False, 0.633, 42, 4388, 3979, 4502, 3979
'779602.recompute_res', True, False
'780713.recompute_res', False, False, 20.163, 34, 16056, 24870, 26946, 14244
'783506.recompute_res', False, False, 137.449, 62, 24688, 36190, 43845, 20073
'787288.recompute_res', False, False, 0.326, 2, 750, 672, 863, 623
'791129.recompute_res', False, False, 492.113, 49, 85811, 157689, 165067, 80032
